time,value
00:00,54
01:00,100
02:00,100
03:00,61
04:00,22
05:00,3
06:00,39
07:00,90
08:00,100
09:00,77
10:00,24
11:00,10
12:00,28
13:00,74
14:00,99
15:00,82
16:00,36
17:00,1
18:00,16
19:00,59
20:00,100
21:00,100
22:00,53
23:00,12
00:00,53
01:00,92
02:00,100
03:00,66
04:00,12
05:00,5
06:00,40
07:00,90
08:00,100
09:00,73
10:00,32
11:00,5
12:00,29
13:00,71
14:00,98
15:00,86
16:00,43
17:00,6
18:00,20
19:00,57
20:00,94
21:00,97
22:00,59
23:00,10
00:00,56
01:00,98
02:00,95
03:00,64
04:00,22
05:00,4
06:00,35
07:00,84
08:00,100
09:00,70
10:00,27
11:00,7
12:00,30
13:00,72
14:00,100
15:00,82
16:00,36
17:00,9
18:00,14
19:00,63
20:00,95
21:00,99
22:00,57
23:00,13
00:00,57
01:00,94
02:00,99
03:00,60
04:00,14
05:00,7
06:00,39
07:00,85
08:00,100
09:00,72
10:00,30
11:00,9
12:00,27
13:00,72
14:00,100
15:00,86
16:00,43
17:00,9
18:00,22
19:00,64
20:00,95
21:00,90
22:00,54
23:00,16
00:00,59
01:00,94
02:00,96
03:00,65
04:00,16
05:00,11
06:00,38
07:00,92
08:00,100
09:00,73
10:00,32
11:00,6
12:00,31
13:00,74
14:00,100
15:00,81
16:00,45
17:00,5
18:00,20
19:00,61
20:00,100
21:00,100
22:00,49
23:00,11
00:00,54
01:00,100
02:00,98
03:00,64
04:00,22
05:00,12
06:00,36
07:00,89
08:00,100
09:00,77
10:00,27
11:00,1
12:00,32
13:00,74
14:00,100
15:00,85
16:00,38
17:00,9
18:00,22
19:00,56
20:00,95
21:00,91
22:00,56
23:00,7
00:00,54
01:00,94
02:00,98
03:00,65
04:00,18
05:00,5
06:00,42
07:00,84
08:00,100
09:00,76
10:00,31
11:00,5
12:00,30
13:00,70
14:00,98
15:00,82
16:00,37
17:00,8
18:00,22
19:00,63
20:00,95
21:00,93
22:00,55
23:00,13
00:00,49
01:00,98
02:00,98
03:00,64
04:00,18
05:00,2
06:00,45
07:00,83
08:00,100
09:00,71
10:00,26
11:00,10
12:00,32
13:00,79
14:00,99
15:00,88
16:00,35
17:00,9
18:00,16
19:00,57
20:00,95
21:00,99
22:00,51
23:00,10
00:00,51
01:00,91
02:00,95
03:00,57
04:00,16
05:00,3
06:00,42
07:00,83
08:00,100
09:00,70
10:00,31
11:00,4
12:00,32
13:00,72
14:00,100
15:00,89
16:00,39
17:00,10
18:00,19
19:00,66
20:00,96
21:00,93
22:00,56
23:00,14
00:00,55
01:00,96
02:00,95
03:00,65
04:00,13
05:00,12
06:00,42
07:00,92
08:00,100
09:00,72
10:00,25
11:00,1
12:00,25
13:00,70
14:00,100
15:00,84
16:00,38
17:00,10
18:00,15
19:00,56
20:00,98
21:00,97
22:00,53
23:00,17
