time,value
8:45, 0.140647
9:00, 0.328176
9:15, 0.093765
9:30, 0.046882
9:45, 0
10:00, 0.046882
10:15, 0.140647
10:30, 0.187529
10:45, 0.046882
11:00, 0.281294
11:15, 0
11:30, 0.046882
11:45, 0.140647
12:00, 0.281294
12:15, 0.234412
12:30, 0.187529
12:45, 0.093765
13:00, 0.468823
13:15, 0.703235
13:30, 0.797
13:45, 0.046882
14:00, 0.046882
14:15, 0.187529
14:30, 0.234412
14:45, 0.093765
15:00, 1.078293
15:15, 0.234412
15:30, 0.140647
15:45, 0.093765
16:00, 0.093765
16:15, 0.187529
16:30, 0.187529
16:45, 0
17:00, 0
17:15, 0.234412
17:30, 0.093765
17:45, 0
18:00, 0.328176
18:15, 0.375059
18:30, 0.187529
18:45, 0
19:00, 0.515706
19:15, 0
19:30, 0
19:45, 0.281294
