time,value
8:45, 0
9:00, 0
9:15, 0
9:30, 0
9:45, 0
10:00, 0.046882
10:15, 0.140647
10:30, 0.187529
10:45, 0.187529
11:00, 0.046882
11:15, 0.093765
11:30, 0.046882
11:45, 0.093765
12:00, 0.797
12:15, 0.281294
12:30, 0.328176
12:45, 0.750117
13:00, 0.234412
13:15, 0.281294
13:30, 0.375059
13:45, 0.421941
14:00, 0.421941
14:15, 0
14:30, 0.046882
14:45, 0.140647
15:00, 0.281294
15:15, 0.234412
15:30, 0.093765
15:45, 0
16:00, 0
16:15, 0.281294
16:30, 0.281294
16:45, 0.187529
17:00, 0.328176
17:15, 0.046882
17:30, 0
17:45, 0.187529
18:00, 0.187529
18:15, 0.984529
18:30, 0.515706
18:45, 0.328176
19:00, 0.187529
19:15, 0.140647
19:30, 0.140647
19:45, 0
